VISDATA
38
0 0
1 0
2 0
3 0
4 0
5 17  11 8 6 12 7 35 9 37 36 34 13 10 31 32 22 29 23 
6 23  5 31 32 10 35 34 22 36 37 9 29 23 11 12 7 8 13 24 20 18 25 26 19 
7 21  35 5 36 37 34 31 32 22 11 29 10 12 8 13 23 9 6 24 20 25 17 
8 26  5 10 9 22 31 32 35 36 29 7 34 37 23 6 24 12 18 11 20 25 13 26 27 28 19 17 
9 18  35 37 36 11 34 32 31 8 22 12 5 29 6 13 7 10 23 24 
10 17  11 35 8 37 36 34 12 6 31 32 22 13 7 5 29 9 23 
11 26  5 10 9 22 7 31 32 35 23 29 34 36 37 6 24 20 26 25 8 12 27 28 18 13 19 17 
12 26  5 10 9 19 7 22 31 32 18 29 23 6 35 34 36 17 37 13 8 11 24 20 25 26 27 28 
13 26  22 10 19 23 5 9 31 17 7 29 32 24 35 20 37 25 36 34 12 26 18 6 27 28 8 11 
14 0
15 0
16 0
17 21  13 27 26 28 12 18 25 20 19 24 23 22 8 29 11 32 31 7 34 37 36 
18 19  26 27 28 25 12 20 19 24 17 23 13 8 22 11 6 29 32 31 34 
19 18  13 12 27 26 28 18 25 20 17 24 8 23 22 11 29 32 6 31 
20 22  28 27 37 36 26 34 32 25 31 18 23 22 29 24 13 11 8 17 19 12 6 7 
21 0
22 26  37 36 28 27 34 8 11 6 26 7 9 10 35 13 25 32 12 20 24 5 18 31 23 29 17 19 
23 26  28 27 37 26 36 34 32 25 35 13 11 8 6 20 7 12 31 29 9 18 24 22 10 17 19 5 
24 24  28 27 26 37 36 25 34 32 20 31 11 13 29 22 18 8 23 6 35 12 7 17 19 9 
25 22  28 32 27 34 24 23 22 36 29 31 18 37 26 20 13 17 11 19 8 12 6 7 
26 20  24 23 32 22 20 29 28 18 34 31 25 27 17 19 13 11 36 8 12 6 
27 18  24 23 20 22 29 32 25 18 26 28 31 17 19 13 11 34 8 12 
28 16  24 23 20 25 29 22 26 18 27 32 17 19 13 11 8 12 
29 26  28 37 27 26 36 9 7 6 25 8 11 10 34 13 20 12 24 23 35 32 5 22 31 18 19 17 
30 0
31 25  37 36 6 7 9 34 10 8 11 35 32 26 25 12 5 13 20 24 27 23 22 29 18 19 17 
32 26  6 9 26 7 37 25 10 27 23 20 8 24 11 22 31 36 12 5 13 28 34 29 35 18 17 19 
33 0
34 24  9 7 10 23 31 22 6 20 25 24 26 5 8 37 11 29 12 32 36 13 35 27 18 17 
35 18  9 10 7 5 6 37 31 8 22 23 11 36 12 13 29 34 24 32 
36 22  31 22 9 23 7 10 24 6 20 29 5 25 8 32 11 35 12 37 34 13 26 17 
37 21  31 22 23 9 24 7 10 29 32 20 35 6 5 8 34 11 25 12 36 13 17 
